TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_SI(aam),G_AUC(aam),G_SI(aam),I_AUC(Glu3),I_SI(Glu3),G_AUC(Glu3),G_SI(Glu3),I_AUC(G16.7),I_SI(G16.7),G_AUC(G16.7),G_SI(G16.7),I_AUC(ibmx),I_SI(ibmx),G_AUC(ibmx),G_SI(ibmx),I_AUC(kcl),I_SI(kcl),G_AUC(kcl),G_SI(kcl)
20,No stimuli,,2,1000,8.13,0.038,104,,,27.1,2.2,,,-4.5,0.549450549,,,-22.6,0.427350427,,,104.7,3.215767635,,,39.48,7.259615385
21,No stimuli,,2,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,,2,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,,2,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,,2,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,,2,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,,2,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,,2,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,,2,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,,2,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),,2,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),,2.1,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),,2,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),,2,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),,2,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),,2,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),,2.1,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),,2.7,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),,2,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),,3,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),,2.2,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),,2.9,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),,2.4,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),,2.3,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),,3.5,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),,3.1,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),,2.6,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),,3.3,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),,3.2,,,,,,,,,,,,,,,,,,,,,,,,
