TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_SI(aam),G_AUC(aam),G_SI(aam),I_AUC(Glu3),I_SI(Glu3),G_AUC(Glu3),G_SI(Glu3),I_AUC(G16.7),I_SI(G16.7),G_AUC(G16.7),G_SI(G16.7),I_AUC(ibmx),I_SI(ibmx),G_AUC(ibmx),G_SI(ibmx),I_AUC(kcl),I_SI(kcl),G_AUC(kcl),G_SI(kcl)
20,No stimuli,,13.2,1000,30.47,38.2,730,,,424.32,3.163265306,,,-47,0.28604119,,,-134.8,0.580411125,,,608,3.617339312,,,454.96,4.391025641
21,No stimuli,,10.4,,,,,,,,,,,,,,,,,,,,,,,,
22,No stimuli,,17.2,,,,,,,,,,,,,,,,,,,,,,,,
23,No stimuli,,16.8,,,,,,,,,,,,,,,,,,,,,,,,
24,No stimuli,,18,,,,,,,,,,,,,,,,,,,,,,,,
25,No stimuli,,20.4,,,,,,,,,,,,,,,,,,,,,,,,
26,No stimuli,,13.6,,,,,,,,,,,,,,,,,,,,,,,,
27,No stimuli,,9.6,,,,,,,,,,,,,,,,,,,,,,,,
28,No stimuli,,10.4,,,,,,,,,,,,,,,,,,,,,,,,
29,No stimuli,,24.4,,,,,,,,,,,,,,,,,,,,,,,,
30,Amino acid mixture (4 mM),,13.6,,,,,,,,,,,,,,,,,,,,,,,,
31,Amino acid mixture (4 mM),,15.2,,,,,,,,,,,,,,,,,,,,,,,,
32,Amino acid mixture (4 mM),,15.2,,,,,,,,,,,,,,,,,,,,,,,,
33,Amino acid mixture (4 mM),,49.6,,,,,,,,,,,,,,,,,,,,,,,,
34,Amino acid mixture (4 mM),,43.6,,,,,,,,,,,,,,,,,,,,,,,,
35,Amino acid mixture (4 mM),,35.2,,,,,,,,,,,,,,,,,,,,,,,,
36,Amino acid mixture (4 mM),,36.8,,,,,,,,,,,,,,,,,,,,,,,,
37,Amino acid mixture (4 mM),,29.2,,,,,,,,,,,,,,,,,,,,,,,,
38,Amino acid mixture (4 mM),,28,,,,,,,,,,,,,,,,,,,,,,,,
39,Amino acid mixture (4 mM),,19.2,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),,27.6,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),,26.8,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),,28.4,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),,26.8,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),,30.8,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),,32,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),,22.4,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),,22.4,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),,30.4,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),,22.8,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),,30.8,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),,28.8,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),,33.6,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),,30,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),,24,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),,32.4,,,,,,,,,,,,,,,,,,,,,,,,
56,Amino acid mixture (4 mM),,34.4,,,,,,,,,,,,,,,,,,,,,,,,
57,Amino acid mixture (4 mM),,34.8,,,,,,,,,,,,,,,,,,,,,,,,
58,Amino acid mixture (4 mM),,37.2,,,,,,,,,,,,,,,,,,,,,,,,
59,Amino acid mixture (4 mM),,30.4,,,,,,,,,,,,,,,,,,,,,,,,
60,Amino acid mixture (4 mM),,38,,,,,,,,,,,,,,,,,,,,,,,,
61,Amino acid mixture (4 mM) + Glucose (3 mM),,25.6,,,,,,,,,,,,,,,,,,,,,,,,
62,Amino acid mixture (4 mM) + Glucose (3 mM),,42.8,,,,,,,,,,,,,,,,,,,,,,,,
63,Amino acid mixture (4 mM) + Glucose (3 mM),,10,,,,,,,,,,,,,,,,,,,,,,,,
64,Amino acid mixture (4 mM) + Glucose (3 mM),,22.4,,,,,,,,,,,,,,,,,,,,,,,,
65,Amino acid mixture (4 mM) + Glucose (3 mM),,21.6,,,,,,,,,,,,,,,,,,,,,,,,
66,Amino acid mixture (4 mM) + Glucose (3 mM),,26.8,,,,,,,,,,,,,,,,,,,,,,,,
67,Amino acid mixture (4 mM) + Glucose (3 mM),,36,,,,,,,,,,,,,,,,,,,,,,,,
68,Amino acid mixture (4 mM) + Glucose (3 mM),,32.8,,,,,,,,,,,,,,,,,,,,,,,,
69,Amino acid mixture (4 mM) + Glucose (3 mM),,38,,,,,,,,,,,,,,,,,,,,,,,,
70,Amino acid mixture (4 mM) + Glucose (3 mM),,42,,,,,,,,,,,,,,,,,,,,,,,,
71,Amino acid mixture (4 mM) + Glucose (3 mM),,48,,,,,,,,,,,,,,,,,,,,,,,,
72,Amino acid mixture (4 mM) + Glucose (3 mM),,44.4,,,,,,,,,,,,,,,,,,,,,,,,
73,Amino acid mixture (4 mM) + Glucose (3 mM),,29.6,,,,,,,,,,,,,,,,,,,,,,,,
74,Amino acid mixture (4 mM) + Glucose (3 mM),,33.2,,,,,,,,,,,,,,,,,,,,,,,,
75,Amino acid mixture (4 mM) + Glucose (3 mM),,33.6,,,,,,,,,,,,,,,,,,,,,,,,
76,Amino acid mixture (4 mM) + Glucose (3 mM),,31.2,,,,,,,,,,,,,,,,,,,,,,,,
77,Amino acid mixture (4 mM) + Glucose (3 mM),,28.8,,,,,,,,,,,,,,,,,,,,,,,,
78,Amino acid mixture (4 mM) + Glucose (3 mM),,30.8,,,,,,,,,,,,,,,,,,,,,,,,
79,Amino acid mixture (4 mM) + Glucose (3 mM),,39.2,,,,,,,,,,,,,,,,,,,,,,,,
80,Amino acid mixture (4 mM) + Glucose (3 mM),,35.4,,,,,,,,,,,,,,,,,,,,,,,,
81,Amino acid mixture (4 mM) + Glucose (16.7 mM),,38.4,,,,,,,,,,,,,,,,,,,,,,,,
82,Amino acid mixture (4 mM) + Glucose (16.7 mM),,28.2,,,,,,,,,,,,,,,,,,,,,,,,
83,Amino acid mixture (4 mM) + Glucose (16.7 mM),,19.2,,,,,,,,,,,,,,,,,,,,,,,,
84,Amino acid mixture (4 mM) + Glucose (16.7 mM),,21.6,,,,,,,,,,,,,,,,,,,,,,,,
85,Amino acid mixture (4 mM) + Glucose (16.7 mM),,21,,,,,,,,,,,,,,,,,,,,,,,,
86,Amino acid mixture (4 mM) + Glucose (16.7 mM),,24.6,,,,,,,,,,,,,,,,,,,,,,,,
87,Amino acid mixture (4 mM) + Glucose (16.7 mM),,30,,,,,,,,,,,,,,,,,,,,,,,,
88,Amino acid mixture (4 mM) + Glucose (16.7 mM),,36.6,,,,,,,,,,,,,,,,,,,,,,,,
89,Amino acid mixture (4 mM) + Glucose (16.7 mM),,22.2,,,,,,,,,,,,,,,,,,,,,,,,
90,Amino acid mixture (4 mM) + Glucose (16.7 mM),,28.2,,,,,,,,,,,,,,,,,,,,,,,,
91,Amino acid mixture (4 mM) + Glucose (16.7 mM),,28.2,,,,,,,,,,,,,,,,,,,,,,,,
